ifInOctets11,ifOutOctets11,ifInUcastPkts11,ifOutUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,icmpInMsgs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps,target
55885576,4250169,41867,14143,0,0,0,0,0,0,0,73,69,1,217,123,151,2,65,63,3,3,normal
98912383,6735590,75215,24591,0,0,0,0,0,0,0,74,70,1,186,134,161,2,59,57,1,1,normal
80566143,7952638,62403,27600,0,8,6,2,0,0,0,56,50,5,136,102,110,3,22,21,3,3,normal
58292299,5252234,44591,15933,1,1,0,0,0,0,0,98,90,4,247,221,169,4,21,20,3,3,httpFlood
73269749,6601843,57771,19705,2,3,0,0,0,0,0,309,307,3,415,352,344,2,31,23,2,2,normal
26885181,1875539,21181,9218,0,0,0,0,0,0,0,49,41,3,217,166,102,2,16,14,2,2,normal
92690802,10527792,72724,26238,1,5,3,1,0,0,0,75,71,3,195,159,129,0,25,24,0,0,normal
82173576,6732039,62806,22148,0,4,3,1,0,0,0,72,71,5,225,119,158,2,56,55,1,1,normal
25650304,3418310,26448,13245,1,1,0,0,0,0,0,76,63,8,208,89,191,4,90,86,5,5,normal
98557012,13411013,70646,25222,1,1,0,0,0,0,0,82,72,2,227,105,205,2,100,98,1,1,normal
64481499,6891698,49429,19839,0,0,0,0,0,0,0,62,54,6,249,136,209,3,103,100,3,4,normal
59343831,4756371,46059,17480,1,10,6,2,0,0,0,509,505,6,710,595,646,6,98,108,6,5,normal
65100952,8574617,51760,20975,1,1,0,0,0,0,0,207,195,5,473,321,326,2,125,107,2,2,normal
56870442,4543734,60370,17046,2,3,0,0,0,0,0,310,304,1,461,336,434,5,96,89,5,5,normal
45527496,2977495,17848,6893,1,1,0,0,0,0,0,59,55,3,251,144,187,3,96,93,4,4,normal
62544510,4104244,83962,30557,0,4,3,1,0,0,0,75,73,0,176,101,188,4,82,78,3,3,normal
103396733,10363618,44865,17224,2,6,3,1,0,0,0,69,64,3,193,165,142,3,32,29,3,3,normal
