ifInOctets11_diff,ifOutOctets11_diff,ifInUcastPkts11_diff,ifOutUcastPkts11_diff,tcpOutRsts_diff,tcpInSegs_diff,tcpOutSegs_diff,tcpPassiveOpens_diff,tcpRetransSegs_diff,tcpActiveOpens_diff,udpInDatagrams_diff,udpOutDatagrams_diff,udpNoPorts_diff,ipInReceives_diff,ipInDelivers_diff,ipOutRequests_diff,icmpInMsgs_diff,icmpOutMsgs_diff,icmpOutDestUnreachs_diff,icmpInEchos_diff,icmpOutEchoReps_diff,class
8664,20045,55,57,0,14,13,0,0,0,64,71,0,74,74,87,0,0,0,0,0,slowloris
11927,3991,27,29,0,51,65,0,2,2,49,55,0,102,102,111,0,0,0,0,0,slowloris
18497,29620,70,77,0,19,19,0,0,0,55,57,0,76,76,78,0,0,0,0,0,slowloris
2040,4976,19,25,0,22,23,0,0,0,58,66,0,79,79,87,0,0,0,0,0,slowloris
20062,20116,82,71,0,31,31,0,0,0,121,60,397123,901680,901680,450879,502720,502720,502720,0,0,slowloris
3488,4412,21,22,0,20,23,0,2,0,45,45,1082480,2156765,2156765,1078419,1076149,1076149,1076149,0,0,udp-flood
19098,24574,66,60,0,19,20,0,0,0,85,71,1069742,2138153,2138152,1069119,1072363,1072363,1072363,0,0,udp-flood
5579,8565,68,62,0,25,26,0,0,0,83,80,683177,1268809,1268810,634456,581290,581290,581290,0,0,udp-flood
11891,14020,17,17,0,11,13,0,0,0,64,44,0,58,58,57,0,0,0,0,0,slowloris
5446,3989,31,17,532056,1064124,532070,0,0,0,115,45,0,1376735,1376735,688392,0,0,0,0,0,tcp-syn
3919,5423,32,29,1036305,2072620,1036317,0,0,0,127,63,0,1760124,1760124,880099,0,0,0,0,0,tcp-syn
2247,5985,20,27,0,18,19,0,1,0,77,53,0,76,76,81,0,0,0,0,0,slowloris
12916,9612,58,40,0,1067,1071,206,0,207,93,54,0,76,76,78,0,0,0,0,0,slowloris
3264,5885,28,27,0,4267,4268,550,1,550,49,56,0,57,57,69,0,0,0,0,0,slowloris
3276,5611,24,55,0,2178,1240,152,939,550,99,79,0,112,112,113,0,0,0,0,0,slowpost
104471,44746,182,121,2,10259,6603,402,3658,561,184,131,0,178,178,149,0,0,0,0,0,slowpost
3580,5702,31,26,1,5391,2390,0,3004,554,64,44,0,53,53,51,0,0,0,0,0,slowpost
1187,3516,15,13,927,6414,3941,10,2475,335,54,43,0,63,63,62,0,0,0,0,0,slowpost
11648,12369,64,49,147,465,319,147,147,0,114,65,0,96,96,92,0,0,0,0,0,slowpost
2616,3894,16,16,55,182,128,55,55,0,46,46,0,64,64,64,0,0,0,0,0,slowpost
3443,4676,30,24,0,23,21,0,0,0,56,46,0,69,69,64,0,0,0,0,0,slowloris
20309,26173,45,39,1,27,26,0,1,1,146,87,0,1213804,1213803,606955,1308485,1308486,0,654243,654243,icmp-echo
39279,35974,93,78,0,31,34,0,0,1,59,49,0,2102103,2102104,1051092,2108129,2108130,0,1054065,1054065,icmp-echo
2075,4266,14,73,0,20,22,0,0,1,107,96,0,145134,145134,72629,44122,44120,0,22060,22060,slowloris
14771,19814,73,17,0,10,11,0,1,0,85,47,0,64,64,61,0,0,0,0,0,slowloris
9460,9872,44,43,0,38,38,0,1,1,57,51,0,81,81,89,0,0,0,0,0,slowloris
11868,17536,50,62,0,36,42,0,0,1,99,86,0,115,115,119,0,0,0,0,0,slowloris
20523,28823,72,66,0,20,20,0,0,0,67,64,0,85,85,86,0,0,0,0,0,slowloris
9734,14832,45,42,0,34,32,0,0,1,54,54,0,100,100,97,0,0,0,0,0,slowloris
10742,15699,61,60,0,22,24,0,0,0,79,76,0,85,85,85,0,0,0,0,0,slowloris
5617,3876,33,16,0,11,12,0,0,0,132,67,0,94,94,83,0,0,0,0,0,slowloris
27150,31838,82,72,0,20,20,0,0,0,135,82,0,102,102,95,0,0,0,0,0,slowloris
2333,5952,25,27,0,28,30,0,1,1,56,50,0,77,77,79,0,0,0,0,0,slowloris
11629,10134,50,43,0,13,14,0,1,0,53,51,0,56,56,65,0,0,0,0,0,slowloris
2562,5291,21,36,1,14,15,0,0,1,60,61,0,75,75,76,0,0,0,0,0,slowloris
3194,5302,27,13,4,22,23,0,1,4,53,43,0,65,65,65,0,0,0,0,0,slowloris
4133,3172,35,16,1,15,16,0,0,1,114,43,0,65,65,57,0,0,0,0,0,slowloris
11498,22617,59,65,0,50,61,0,0,2,59,63,0,124,124,128,0,0,0,0,0,normal
19817,33787,90,90,0,37,31,0,0,0,63,62,0,90,90,89,0,0,0,0,0,normal
10518,9332,47,43,0,29,31,0,0,1,44,44,0,60,60,59,0,0,0,0,0,normal
579,2966,4,7,0,13,14,0,1,0,44,44,0,58,58,59,0,0,0,0,0,normal
