ifInOctets11_diff,ifOutOctets11_diff,ifInUcastPkts11_diff,ifOutUcastPkts11_diff,tcpOutRsts_diff,tcpInSegs_diff,tcpOutSegs_diff,tcpPassiveOpens_diff,tcpRetransSegs_diff,tcpCurrEstab_diff,tcpActiveOpens_diff,udpInDatagrams_diff,udpOutDatagrams_diff,udpNoPorts_diff,ipInReceives_diff,ipInDelivers_diff,ipOutRequests_diff,icmpInMsgs_diff,icmpOutMsgs_diff,icmpOutDestUnreachs_diff,icmpInEchos_diff,icmpOutEchoReps_diff,class
13751,38799,81,68,0,49,50,0,1,-1,0,80,92,0,127,127,139,0,0,0,0,0,normal
25151,18711,49,51,4,57742,57506,5729,246,1097,5924,62,62,0,100,100,104,0,0,0,0,0,slowpost
3690,16232,41,49,94,1536988,1536817,145458,175,165,145378,116,104,0,134,134,141,0,0,0,0,0,slowpost
1743427,38764,1170,214,0,81,81,0,0,0,0,2721,468,0,2785,2785,533,0,0,0,0,0,normal
3987334,75027,3186,495,0,78,80,0,0,0,0,1675,300,0,1739,1739,360,0,0,0,0,0,normal
1598924,40880,1304,388,0,70,69,0,0,0,0,2598,411,0,2581,2581,444,0,0,0,0,0,normal
2995735,53673,2403,183,0,75,77,0,0,0,0,2432,377,0,2496,2496,439,0,0,0,0,0,normal
3202808,80687,2586,459,0,95,93,0,0,0,0,1385,311,0,1425,1425,359,0,0,0,0,0,normal
1738046,47184,1446,265,0,89,91,0,0,0,0,2693,440,0,2768,2768,519,0,0,0,0,0,normal
3067830,69989,2448,401,0,65,68,0,0,-1,0,1235,270,0,1895,1895,391,0,0,0,0,0,normal
1518728,42650,1278,232,0,84,88,0,1,-2,0,2569,373,0,1949,1949,344,0,0,0,0,0,normal
3277590,65955,2669,414,0,113,116,0,2,-10,1,2943,456,0,2903,2903,549,0,0,0,0,0,normal
3500081,76051,2812,433,0,143,144,0,0,0,0,2339,373,0,2774,2774,566,0,0,0,0,0,normal
3062403,70253,2466,383,0,79,77,0,0,-1,0,1536,290,0,1254,1254,265,0,0,0,0,0,normal
1549897,32261,1264,415,0,94,94,0,0,0,0,2457,430,0,2491,2491,497,0,0,0,0,0,normal
2916994,76706,2342,198,0,78,77,0,0,-1,0,2356,369,0,2420,2420,435,0,0,0,0,0,normal
2859489,62741,2301,357,0,128,131,0,3,1,2,2276,361,0,2374,2374,452,0,0,0,0,0,normal
1487177,101787,1266,280,0,79,80,0,0,-3,0,1288,267,0,1328,1328,311,0,0,0,0,0,normal
2956669,63653,2352,342,0,73,75,0,1,-1,0,2359,366,0,2413,2413,418,0,0,0,0,0,normal
2991001,66279,2378,340,0,77,80,0,1,0,0,2406,390,0,2402,2402,445,0,0,0,0,0,normal
2763375,75218,2305,379,0,168,169,0,1,0,1,1323,214,0,1346,1346,362,0,0,0,0,0,normal
2934897,64661,2403,373,0,83,83,0,0,0,0,2358,356,0,2410,2410,418,0,0,0,0,0,normal
1482032,36997,1193,201,0,77,81,0,2,0,0,2408,393,0,2452,2452,443,0,0,0,0,0,normal
