ifOutUcastPkts11_diff,ifOutNUcastPkts11_diff,tcpInSegs_diff,tcpRetransSegs_diff,tcpEstabResets_diff,udpOutDatagrams_diff,udpInErrors_diff,udpNoPorts_diff,ipOutDiscards_diff,ipInDiscards_diff,ipInAddrErrors_diff,icmpInDestUnreachs_diff,icmpOutDestUnreachs_diff,class
124,0,43,1,0,113,0,0,0,0,0,0,0,normal
173,0,70,1,4,111,0,0,0,0,0,0,0,normal
106,0,20,0,0,94,0,0,0,0,0,0,0,normal
137,0,40,1,0,111,0,0,0,0,0,0,0,normal
163,0,15,0,0,170,0,0,0,0,0,0,0,normal
129,0,41,0,0,112,0,0,0,0,0,0,0,normal
72,0,28,0,0,81,0,0,0,0,0,0,0,normal
72,0,23,0,0,96,0,0,0,0,0,0,0,normal
140,0,42,0,0,148,0,0,0,0,0,0,0,normal
154,0,46,1,0,100,0,0,0,0,0,0,0,normal
118,0,43,1,0,72,0,0,0,0,0,0,0,normal
178,0,185,1,0,107,0,0,0,0,0,0,0,normal
201,0,34,0,3,94,0,0,0,0,0,0,0,normal
90,0,17,0,0,100,0,0,0,0,0,0,0,normal
129,0,55,0,0,108,0,0,0,0,0,0,0,normal
1868,0,3506,6,0,135,0,1,0,0,0,0,1,normal
2685,0,2592,0,0,95,0,0,0,0,0,0,0,normal
97,0,36,0,0,103,0,0,0,0,0,0,0,normal
144,0,40,0,0,75,0,0,0,0,0,0,0,normal
98,0,19,0,0,102,0,0,0,0,0,0,0,normal
143,0,36,1,0,128,0,0,0,0,0,0,0,normal
153,0,44,1,0,136,0,0,0,0,0,0,0,normal
788,0,349,1,5,428,0,0,0,0,0,0,0,normal
551,0,574,0,0,136,0,0,0,0,0,0,0,normal
175,0,52,2,0,103,0,0,0,0,0,0,0,normal
246,0,101,1,6,191,0,0,0,0,0,0,0,normal
122,0,31,0,0,72,0,0,0,0,0,0,0,normal
81,0,18,0,0,81,0,0,0,0,0,0,0,normal
108,0,44,1,0,123,0,0,0,0,0,0,0,normal
197,0,100,0,0,111,0,0,0,0,0,0,0,normal
228,0,212,2,0,82,0,0,0,0,0,0,0,normal
115,0,39,0,0,81,0,0,0,0,0,0,0,normal
133,0,35,0,0,125,0,0,0,0,0,0,0,normal
94,0,21,0,1,100,0,0,0,0,0,0,0,normal
125,0,16,0,0,134,0,0,0,0,0,0,0,normal
47,0,12,0,0,91,0,0,0,0,0,0,0,normal
124,0,19,1,0,114,0,0,0,0,0,0,0,normal
903,0,1286,0,3,113,0,0,0,0,0,0,0,normal
235,0,155,0,1,107,0,0,0,0,0,0,0,normal
145,0,31,1,0,88,0,0,0,0,0,0,0,normal
98,0,25,1,1,97,0,0,0,0,0,0,0,normal
65,0,15,1,0,97,0,0,0,0,0,0,0,normal
285,0,218,0,0,143,0,0,0,0,0,0,0,normal
219,0,117,0,0,140,0,0,0,0,0,0,0,normal
622,0,98,1,0,610,0,0,0,0,0,0,0,normal
749,0,121,0,1,605,0,0,0,0,0,0,0,normal
110,0,19,0,1,92,0,0,0,0,0,0,0,normal
94,0,18,1,0,67,0,0,0,0,0,0,0,normal
81,0,23,0,0,86,0,0,0,0,0,0,0,normal
132,0,32,0,0,127,0,0,0,0,0,0,0,normal
122,0,11,1,0,139,0,0,0,0,0,0,0,normal
70,0,14,1,0,77,0,0,0,0,0,0,0,normal
197,0,74,0,2,148,0,0,0,0,0,0,0,normal
61,0,12,0,0,76,0,0,0,0,0,0,0,normal
102,0,5765,3,0,91,0,0,0,0,0,0,0,normal
87,0,2499,12,0,101,0,0,0,0,0,0,0,normal
115,0,2753,4,0,109,0,0,0,0,0,0,0,normal
93,0,2652,0,912,103,0,0,0,0,0,0,0,normal
360,0,262,1,0,207,0,0,0,0,0,0,0,normal
276,0,171,0,0,143,0,0,0,0,0,0,0,normal
314,0,126,13,0,95,0,0,0,0,0,0,0,normal
71,0,14,0,0,87,0,0,0,0,0,0,0,normal
914,0,24,0,7,919,0,0,19,0,0,0,0,normal
268,0,73,7,0,265,0,0,0,0,0,0,0,normal
401,0,34,0,0,382,0,0,0,0,0,0,0,normal
311,0,31,0,0,294,0,0,0,0,0,0,0,normal
124,0,12,0,0,112,0,0,0,0,0,0,0,normal
250,0,218,0,0,98,0,0,0,0,0,0,0,normal
182,0,116,10,0,75,0,0,0,0,0,0,0,normal
167,0,105,7,0,99,0,0,0,0,0,0,0,normal
252,0,155,16,0,103,0,0,0,0,0,0,0,normal
250,0,32,1,0,365,0,0,0,0,0,0,0,normal
269,0,35,0,0,153,0,0,0,0,0,0,0,normal
92,0,16,0,0,113,0,0,0,0,0,0,0,normal
105,0,19,1,0,149,0,0,0,0,0,0,0,normal
340,0,101,0,0,331,0,0,0,0,0,0,0,normal
225,0,10,0,0,125,0,0,0,0,0,0,0,normal
170,0,68,3,0,135,0,0,0,0,0,0,0,normal
