ifInOctets11_diff,ifInDiscards11_diff,tcpInSegs_diff,tcpRetransSegs_diff,tcpEstabResets_diff,udpInDatagrams_diff,udpOutDatagrams_diff,ipInReceives_diff,ipInDelivers_diff,ipOutRequests_diff,ipInDiscards_diff,ipInAddrErrors_diff,icmpInMsgs_diff,class
275462,0,257,0,0,393,198,662,434,662,0,0,0,normal
405891,0,163,13,0,178,53,342,236,342,0,0,0,normal
245599,0,195,18,0,446,68,430,282,430,0,0,0,normal
226790,0,185,8,0,239,84,379,250,379,0,0,0,normal
322751,0,57,0,0,520,274,576,326,576,0,0,0,normal
382001,0,23,0,0,198,68,211,92,211,0,0,0,normal
385968,0,36,0,0,355,97,381,135,381,0,0,0,normal

--tcp syn
15335,0,2221329,0,740430,43,38,2361188,1574153,2361188,0,0,0,normal
199932,0,2461584,0,820508,451,87,2475459,1650186,2475459,0,0,0,normal
208999,0,2479022,2,826322,226,88,2473050,1648665,2473049,0,0,0,normal
417398,0,2422332,0,807426,221,101,2441558,1627677,2441558,0,0,0,normal
201743,0,2417469,0,805813,184,58,2403487,1602271,2403487,0,0,0,normal
195026,0,779427,0,259798,434,82,627766,418379,627767,0,0,0,normal

--udpflood
220155,0,30,0,0,249,96,1222244,611120,1222244,0,0,653207,bruteForce
194022,0,32,0,0,181,54,1403329,701641,1403329,0,0,698722,bruteForce
198799,0,31,0,0,360,124,1413757,706841,1413757,0,0,704759,bruteForce
389376,0,25,2,0,209,78,1436830,718404,1436830,0,0,737693,bruteForce

--icmpecho
188204,0,29,0,0,174,55,625104,312534,625104,0,0,519459,bruteForce
191882,0,46,0,0,181,74,1403902,701959,1403902,0,0,1414390,bruteForce
219957,0,54,1,0,208,87,1453295,726612,1453295,0,0,1462076,bruteForce
379799,0,16,0,0,338,98,1256708,628335,1256708,0,0,1161104,bruteForce

--slowloris
207989,0,1000377,0,0,195,86,230,120,230,0,0,0,normal
209009,0,919086,0,0,227,124,258,153,258,0,0,0,normal
195530,0,89380,3,0,337,78,8534,8282,8534,0,0,0,normal
377403,0,1844,6,0,194,53,2172,1927,2172,0,0,0,normal
191313,0,4481,1,245,196,71,4522,4526,4522,0,0,0,normal
195296,0,3744,0,150,184,62,3930,3805,3930,0,0,0,normal
224971,0,6781,0,1000,225,90,7000,6875,7000,0,0,0,normal

--slowpost
205353,0,3391,0,0,341,101,367,121,367,0,0,0,normal
391562,0,3709,578,0,310,93,254,131,254,0,0,0,normal
194268,0,5596,164,1,203,60,206,84,206,0,0,0,normal
