ifInOctets11_diff,ifInDiscards11_diff,ifOutOctets11_diff,tcpInSegs_diff,tcpRetransSegs_diff,tcpEstabResets_diff,tcpOutSegs_diff,udpInDatagrams_diff,udpOutDatagrams_diff,udpNoPorts_diff,ipInReceives_diff,ipInDelivers_diff,ipOutRequests_diff,ipInDiscards_diff,ipInAddrErrors_diff,ipOutDiscards_diff,icmpInMsgs_diff,icmpOutMsgs_diff,icmpInDestUnreachs_diff,icmpOutDestUnreachs_diff,icmpInEchos_diff,icmpOutEchoReps_diff,class
396788,0,43124,42,1,0,45,229,95,0,259,259,136,0,0,0,0,0,0,0,0,0,normal
212378,0,25103,62,0,0,64,386,129,0,440,440,190,0,0,0,0,0,0,0,0,0,normal
399036,1,33087,31,0,0,32,331,84,0,257,257,125,0,0,0,0,0,0,0,0,0,normal
203071,0,27360,37,1,0,37,242,106,0,247,247,133,0,0,0,0,0,0,0,0,0,normal

--tcp syn
235172,0,67095,1544055,0,514676,1029382,432,183,0,1743762,1743762,1162418,0,0,0,0,0,0,0,0,0,normal
417369,0,38301,2710300,0,903419,1806882,435,82,0,2727695,2727695,1818399,0,0,0,0,0,0,0,0,0,normal
210917,0,42786,2696156,1,898709,1797449,260,129,0,2717447,2717447,1811605,0,0,0,0,0,0,0,0,0,normal
394486,0,36551,1003896,1,334617,669280,353,113,0,766784,766784,511079,0,0,0,0,0,0,0,0,0,normal

--udpflood
198252,0,17085,36,1,0,36,198,77,616436,1274713,1274713,637349,0,0,0,695814,695598,695814,0,0,0,slowloris
207326,0,32723,36,0,0,35,237,113,787780,1588108,1588108,794063,0,0,0,778977,778722,778977,0,0,0,slowloris
418967,0,59034,52,0,0,54,514,173,781952,1559585,1559584,779789,0,0,0,782327,782095,782327,0,0,0,slowloris
203151,0,26211,35,0,0,38,216,107,300625,552398,552399,276217,0,0,0,229675,229600,229675,0,0,0,slowloris

--icmpecho
189775,0,22725,29,0,0,29,201,82,0,1211533,1211533,605760,0,0,0,1307670,0,0,0,653836,653835,normal
389432,0,39618,56,0,0,59,364,121,0,1540346,1540345,770143,0,0,0,1542992,0,0,0,771495,771496,normal
188771,0,22819,24,0,0,27,211,98,0,1559609,1559610,779809,0,0,0,1559514,0,0,0,779757,779757,normal
192357,0,18220,24,0,0,26,356,130,0,463862,463862,231895,0,0,0,363908,0,0,0,181954,181954,normal

--httpflood
194212,0,26205,1000366,2,0,1000361,195,79,0,258,258,139,0,0,0,0,0,0,0,0,0,normal
402752,0,41277,2000632,0,0,2000634,358,131,0,407,407,174,0,0,0,0,0,0,0,0,0,normal
368684,0,51591,1987036,0,0,1987036,301,116,0,273,273,145,0,0,0,0,0,0,0,0,0,normal

--slowloris
372309,0,29471,10033,8,0,10031,226,101,0,10240,10240,10139,0,0,0,0,0,0,0,0,0,normal
382637,0,44286,1128,2,0,1129,371,138,0,4412,4412,4178,0,0,0,0,0,0,0,0,0,normal
188975,0,19280,7345,1,397,7347,207,82,0,4633,4633,4517,0,0,0,0,0,0,0,0,0,normal
186963,0,14630,2805,0,876,2805,240,69,0,3003,3003,2874,0,0,0,0,0,0,0,0,0,normal

--slowpost
202364,0,33206,4080,0,0,4084,334,95,0,276,276,147,0,0,0,0,0,0,0,0,0,normal
399361,0,53858,5842,675,0,5171,381,150,0,441,441,210,0,0,0,0,0,0,0,0,0,normal
189433,0,14706,2810,61,1,2752,218,88,0,234,234,113,0,0,0,0,0,0,0,0,0,normal
192534,0,25524,3286,0,8,3285,353,121,0,379,379,144,0,0,0,0,0,0,0,0,0,normal
5690,0,35060408,917707,1537,7041,912176,49,82,0,911288,911287,906116,0,0,0,5,5,5,0,0,0,normal
2716,0,46768210,930432,1683,7182,924924,48,68,0,922752,922752,917594,0,0,0,2,2,2,0,0,0,normal
54700,0,22780561,389138,1402,3008,387516,223,108,22158,388591,388591,332538,0,0,54239,505,505,505,0,0,0,slowloris
26371,0,59789881,41,264,0,300,55,46,1460085,1462514,1462515,294602,0,0,1163554,4714,4713,4714,0,0,0,slowloris
15816,0,57506759,36,198,2,229,48,52,1511622,1508061,1508061,279152,0,0,1224715,4339,4338,4339,0,0,0,slowloris
7643,0,19625557,37,1,0,34,62,54,339825,302241,302241,47964,0,0,253497,508,508,508,0,0,0,slowloris
10344,0,17644,32,1,0,32,51,50,0,85,85,82,0,0,0,0,0,0,0,0,0,normal
10930,0,32058232,27,6,1,30,63,65,0,1461322,1461322,190786,0,0,1270545,1572449,0,0,0,1572449,0,normal
2776,0,31330543,14,0,0,16,70,52,0,1233093,1233093,142894,0,0,1090200,1121814,0,0,0,1121814,0,normal
4744,0,14621,29,0,0,40,65,44,0,77,77,82,0,0,0,0,0,0,0,0,0,normal
5915,0,12676,23,0,0,32,64,44,0,69,69,72,0,0,0,0,0,0,0,0,0,normal
4051,0,1425,10,0,0,11,62,46,0,66,66,59,0,0,0,0,0,0,0,0,0,normal
