ifInOctets11_diff,ifOutOctets11_diff,ifOutDiscards11_diff,ifInUcastPkts11_diff,ifInNUcastPkts11_diff,ifInDiscards11_diff,ifOutUcastPkts11_diff,ifOutNUcastPkts11_diff,tcpOutRsts_diff,tcpInSegs_diff,tcpOutSegs_diff,tcpPassiveOpens_diff,tcpRetransSegs_diff,tcpCurrEstab_diff,tcpEstabResets_diff,tcpActiveOpens_diff,udpInDatagrams_diff,udpOutDatagrams_diff,udpInErrors_diff,udpNoPorts_diff,ipInReceives_diff,ipInDelivers_diff,ipOutRequests_diff,ipOutDiscards_diff,ipInDiscards_diff,ipForwDatagrams_diff,ipOutNoRoutes_diff,ipInAddrErrors_diff,icmpInMsgs_diff,icmpInDestUnreachs_diff,icmpOutMsgs_diff,icmpOutDestUnreachs_diff,icmpInEchos_diff,icmpOutEchoReps_diff,class
13913,19981,0,60,0,0,61,0,0,34,36,0,0,1,0,1,75,69,0,0,105,105,104,0,0,0,0,0,0,0,0,0,0,0,slowloris
2642,1595,0,23,0,0,17,0,0,25,25,0,0,0,0,0,108,107,0,0,131,131,136,0,0,0,0,0,0,0,0,0,0,0,slowloris
23190,53766,0,137,0,0,136,0,0,45,65,0,1,-1,0,0,113,100,0,0,158,158,155,0,0,0,0,0,0,0,0,0,0,0,slowloris
50067,5595766,0,65,0,0,29247,0,0,55,59,0,4,1,0,2,114,130,0,0,574671,574670,85279,0,0,0,0,0,709861,0,817658,709400,709400,108258,icmp-echo
20286,33445726,0,80,0,0,175953,0,0,21,19,0,0,0,0,0,87,102,0,0,1367054,1367055,172781,0,0,0,0,0,1368744,0,1540713,1368070,1368070,172643,icmp-echo
3601,36932225,0,20,0,0,194368,0,0,14,17,0,3,0,0,0,75,78,0,0,1355093,1355092,197598,0,0,0,0,0,1364605,0,1559991,1363841,1363841,196150,icmp-echo
8883,22486922,0,58,0,0,118361,0,0,24,27,0,0,0,0,1,180,86,0,0,544613,544614,64602,0,0,0,0,0,397741,0,440259,397572,397572,42687,icmp-echo
21243,9562,0,93,0,0,46,0,0,38,42,0,0,0,0,1,327,69,0,0,2248513,2248513,1124297,0,0,0,0,0,2515794,0,2515795,1257898,1257897,1257898,icmp-echo
26635,28770,0,80,0,0,71,0,0,20,21,0,0,0,0,0,149,139,0,0,2588511,2588510,1294342,0,0,0,0,0,2584886,0,2584887,1292443,1292444,1292443,icmp-echo
8275,11067,0,44,0,0,48,0,0,21,23,0,0,-2,1,0,90,85,0,0,1699959,1699960,850032,0,0,0,0,0,1435906,0,1435904,717952,717952,717952,icmp-echo
