ifInOctets11,ifOutOctets11,ifInUcastPkts11,ifOutUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,icmpInMsgs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps,class
3101012797,2979711728,7722719,18276082,102557164,307059212,204035958,8390613,333727,8419023,4699381,1245746,73261710,553599221,553596183,261344010,258692124,268816492,57847214,122979593,87985963,slowloris
3101024724,2979715719,7722746,18276111,102557164,307059263,204036023,8390613,333729,8419025,4699430,1245801,73261710,553599323,553596285,261344121,258692124,268816492,57847214,122979593,87985963,slowloris
3101043221,2979745339,7722816,18276188,102557164,307059282,204036042,8390613,333729,8419025,4699485,1245858,73261710,553599399,553596361,261344199,258692124,268816492,57847214,122979593,87985963,slowloris
3101045261,2979750315,7722835,18276213,102557164,307059304,204036065,8390613,333729,8419025,4699543,1245924,73261710,553599478,553596440,261344286,258692124,268816492,57847214,122979593,87985963,slowloris
3101065323,2979770431,7722917,18276284,102557164,307059335,204036096,8390613,333729,8419025,4699664,1245984,73658833,554501158,554498120,261795165,259194844,269319212,58349934,122979593,87985963,slowloris
3101068811,2979774843,7722938,18276306,102557164,307059355,204036119,8390613,333731,8419025,4699709,1246029,74741313,556657923,556654885,262873584,260270993,270395361,59426083,122979593,87985963,udp-flood
3101087909,2979799417,7723004,18276366,102557164,307059374,204036139,8390613,333731,8419025,4699794,1246100,75811055,558796076,558793037,263942703,261343356,271467724,60498446,122979593,87985963,udp-flood
3101093488,2979807982,7723072,18276428,102557164,307059399,204036165,8390613,333731,8419025,4699877,1246180,76494232,560064885,560061847,264577159,261924646,272049014,61079736,122979593,87985963,udp-flood
3101105379,2979822002,7723089,18276445,102557164,307059410,204036178,8390613,333731,8419025,4699941,1246224,76494232,560064943,560061905,264577216,261924646,272049014,61079736,122979593,87985963,slowloris
3101110825,2979825991,7723120,18276462,103089220,308123534,204568248,8390613,333731,8419025,4700056,1246269,76494232,561441678,561438640,265265608,261924646,272049014,61079736,122979593,87985963,tcp-syn
3101114744,2979831414,7723152,18276491,104125525,310196154,205604565,8390613,333731,8419025,4700183,1246332,76494232,563201802,563198764,266145707,261924646,272049014,61079736,122979593,87985963,tcp-syn
3101116991,2979837399,7723172,18276518,104125525,310196172,205604584,8390613,333732,8419025,4700260,1246385,76494232,563201878,563198840,266145788,261924646,272049014,61079736,122979593,87985963,slowloris
3101129907,2979847011,7723230,18276558,104125525,310197239,205605655,8390819,333732,8419232,4700353,1246439,76494232,563201954,563198916,266145866,261924646,272049014,61079736,122979593,87985963,slowloris
3101133171,2979852896,7723258,18276585,104125525,310201506,205609923,8391369,333733,8419782,4700402,1246495,76494232,563202011,563198973,266145935,261924646,272049014,61079736,122979593,87985963,slowloris
3101136447,2979858507,7723282,18276640,104125525,310203684,205611163,8391521,334672,8420332,4700501,1246574,76494232,563202123,563199085,266146048,261924646,272049014,61079736,122979593,87985963,slowpost
3101240918,2979903253,7723464,18276761,104125527,310213943,205617766,8391923,338330,8420893,4700685,1246705,76494232,563202301,563199263,266146197,261924646,272049014,61079736,122979593,87985963,slowpost
3101244498,2979908955,7723495,18276787,104125528,310219334,205620156,8391923,341334,8421447,4700749,1246749,76494232,563202354,563199316,266146248,261924646,272049014,61079736,122979593,87985963,slowpost
3101245685,2979912471,7723510,18276800,104126455,310225748,205624097,8391933,343809,8421782,4700803,1246792,76494232,563202417,563199379,266146310,261924646,272049014,61079736,122979593,87985963,slowpost
3101257333,2979924840,7723574,18276849,104126602,310226213,205624416,8392080,343956,8421782,4700917,1246857,76494232,563202513,563199475,266146402,261924646,272049014,61079736,122979593,87985963,slowpost
3101259949,2979928734,7723590,18276865,104126657,310226395,205624544,8392135,344011,8421782,4700963,1246903,76494232,563202577,563199539,266146466,261924646,272049014,61079736,122979593,87985963,slowpost
3101263392,2979933410,7723620,18276889,104126657,310226418,205624565,8392135,344011,8421782,4701019,1246949,76494232,563202646,563199608,266146530,261924646,272049014,61079736,122979593,87985963,slowloris
3101283701,2979959583,7723665,18276928,104126658,310226445,205624591,8392135,344012,8421783,4701165,1247036,76494232,564416450,564413411,266753485,263233131,273357500,61079736,123633836,88640206,icmp-echo
3101322980,2979995557,7723758,18277006,104126658,310226476,205624625,8392135,344012,8421784,4701224,1247085,76494232,566518553,566515515,267804577,265341260,275465630,61079736,124687901,89694271,icmp-echo
3101325055,2979999823,7723772,18277079,104126658,310226496,205624647,8392135,344012,8421785,4701331,1247181,76494232,566663687,566660649,267877206,265385382,275509750,61079736,124709961,89716331,slowloris
3101339826,2980019637,7723845,18277096,104126658,310226506,205624658,8392135,344013,8421785,4701416,1247228,76494232,566663751,566660713,267877267,265385382,275509750,61079736,124709961,89716331,slowloris
3101349286,2980029509,7723889,18277139,104126658,310226544,205624696,8392135,344014,8421786,4701473,1247279,76494232,566663832,566660794,267877356,265385382,275509750,61079736,124709961,89716331,slowloris
3101361154,2980047045,7723939,18277201,104126658,310226580,205624738,8392135,344014,8421787,4701572,1247365,76494232,566663947,566660909,267877475,265385382,275509750,61079736,124709961,89716331,slowloris
3101381677,2980075868,7724011,18277267,104126658,310226600,205624758,8392135,344014,8421787,4701639,1247429,76494232,566664032,566660994,267877561,265385382,275509750,61079736,124709961,89716331,slowloris
3101391411,2980090700,7724056,18277309,104126658,310226634,205624790,8392135,344014,8421788,4701693,1247483,76494232,566664132,566661094,267877658,265385382,275509750,61079736,124709961,89716331,slowloris
3101402153,2980106399,7724117,18277369,104126658,310226656,205624814,8392135,344014,8421788,4701772,1247559,76494232,566664217,566661179,267877743,265385382,275509750,61079736,124709961,89716331,slowloris
3101407770,2980110275,7724150,18277385,104126658,310226667,205624826,8392135,344014,8421788,4701904,1247626,76494232,566664311,566661273,267877826,265385382,275509750,61079736,124709961,89716331,slowloris
3101434920,2980142113,7724232,18277457,104126658,310226687,205624846,8392135,344014,8421788,4702039,1247708,76494232,566664413,566661375,267877921,265385382,275509750,61079736,124709961,89716331,slowloris
3101437253,2980148065,7724257,18277484,104126658,310226715,205624876,8392135,344015,8421789,4702095,1247758,76494232,566664490,566661452,267878000,265385382,275509750,61079736,124709961,89716331,slowloris
3101448882,2980158199,7724307,18277527,104126658,310226728,205624890,8392135,344016,8421789,4702148,1247809,76494232,566664546,566661508,267878065,265385382,275509750,61079736,124709961,89716331,slowloris
3101451444,2980163490,7724328,18277563,104126659,310226742,205624905,8392135,344016,8421790,4702208,1247870,76494232,566664621,566661583,267878141,265385382,275509750,61079736,124709961,89716331,slowloris
