ifInOctets11,ifOutOctets11,ifInUcastPkts11,ifOutUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,icmpInMsgs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps,class
3206898701,3034072312,7832600,18350613,110860769,388766692,277395203,14463118,395287,95,14496827,4733631,1266530,81903225,598542298,598539260,283884993,278216823,288341191,66488729,128421185,93427555,normal
3206923852,3034091023,7832649,18350664,110860773,388824434,277452709,14468847,395533,1192,14502751,4733693,1266592,81903225,598542398,598539360,283885097,278216823,288341191,66488729,128421185,93427555,slowpost
3206927542,3034107255,7832690,18350713,110860867,390361422,278989526,14614305,395708,1357,14648129,4733809,1266696,81903225,598542532,598539494,283885238,278216823,288341191,66488729,128421185,93427555,slowpost
1707054231,792052026,10970142,3442687,2861,1226317,1162544,229,11889,96,10928,9947029,2564881,5425,10822807,10820156,3659861,3484,8651,1053,0,0,normal
1711041565,792127053,10973328,3443182,2861,1226395,1162624,229,11889,96,10928,9948704,2565181,5425,10824546,10821895,3660221,3484,8651,1053,0,0,normal
1712640489,792167933,10974632,3443570,2861,1226465,1162693,229,11889,96,10928,9951302,2565592,5425,10827127,10824476,3660665,3484,8651,1053,0,0,normal
1715636224,792221606,10977035,3443753,2861,1226540,1162770,229,11889,96,10928,9953734,2565969,5425,10829623,10826972,3661104,3484,8651,1053,0,0,normal
1718839032,792302293,10979621,3444212,2861,1226635,1162863,229,11889,96,10928,9955119,2566280,5425,10831048,10828397,3661463,3484,8651,1053,0,0,normal
1720577078,792349477,10981067,3444477,2861,1226724,1162954,229,11889,96,10928,9957812,2566720,5425,10833816,10831165,3661982,3484,8651,1053,0,0,normal
1723644908,792419466,10983515,3444878,2861,1226789,1163022,229,11889,95,10928,9959047,2566990,5425,10835711,10833060,3662373,3484,8651,1053,0,0,normal
1725163636,792462116,10984793,3445110,2861,1226873,1163110,229,11890,93,10928,9961616,2567363,5425,10837660,10835009,3662717,3484,8651,1053,0,0,normal
1728441226,792528071,10987462,3445524,2861,1226986,1163226,229,11892,83,10929,9964559,2567819,5425,10840563,10837912,3663266,3484,8651,1053,0,0,normal
1731941307,792604122,10990274,3445957,2861,1227129,1163370,229,11892,83,10929,9966898,2568192,5425,10843337,10840686,3663832,3484,8651,1053,0,0,normal
1735003710,792674375,10992740,3446340,2861,1227208,1163447,229,11892,82,10929,9968434,2568482,5425,10844591,10841940,3664097,3484,8651,1053,0,0,normal
1736553607,792706636,10994004,3446755,2861,1227302,1163541,229,11892,82,10929,9970891,2568912,5425,10847082,10844431,3664594,3484,8651,1053,0,0,normal
1739470601,792783342,10996346,3446953,2861,1227380,1163618,229,11892,81,10929,9973247,2569281,5425,10849502,10846851,3665029,3484,8651,1053,0,0,normal
1742330090,792846083,10998647,3447310,2861,1227508,1163749,229,11895,82,10931,9975523,2569642,5425,10851876,10849225,3665481,3484,8651,1053,0,0,normal
1743817267,792947870,10999913,3447590,2861,1227587,1163829,229,11895,79,10931,9976811,2569909,5425,10853204,10850553,3665792,3484,8651,1053,0,0,normal
1746773936,793011523,11002265,3447932,2861,1227660,1163904,229,11896,78,10931,9979170,2570275,5425,10855617,10852966,3666210,3484,8651,1053,0,0,normal
1749764937,793077802,11004643,3448272,2861,1227737,1163984,229,11897,78,10931,9981576,2570665,5425,10858019,10855368,3666655,3484,8651,1053,0,0,normal
1752528312,793153020,11006948,3448651,2861,1227905,1164153,229,11898,78,10932,9982899,2570879,5425,10859365,10856714,3667017,3484,8651,1053,0,0,normal
1755463209,793217681,11009351,3449024,2861,1227988,1164236,229,11898,78,10932,9985257,2571235,5425,10861775,10859124,3667435,3484,8651,1053,0,0,normal
1756945241,793254678,11010544,3449225,2861,1228065,1164317,229,11900,78,10932,9987665,2571628,5425,10864227,10861576,3667878,3484,8651,1053,0,0,normal
1759843032,793316083,11012878,3449590,2861,1228144,1164393,229,11901,78,10932,9988864,2571870,5425,10865459,10862808,3668169,3484,8651,1053,0,0,normal
1761141713,793353556,11013962,3449800,2861,1228214,1164464,229,11902,78,10932,9991045,2572199,5425,10867685,10865034,3668548,3484,8651,1053,0,0,normal
1764047209,793415488,11016269,3450128,2861,1228494,1164745,232,11902,85,10937,9992265,2572418,5425,10870334,10867683,3669305,3484,8651,1053,0,0,normal
1765653530,793502215,11017675,3450498,2861,1228736,1164992,233,11904,88,10941,9994746,2572849,5425,10871850,10869199,3669672,3484,8651,1053,0,0,normal
1768838322,793586385,11020267,3450932,2861,1228828,1165086,233,11904,89,10942,9997476,2573290,5425,10874606,10871955,3670175,3484,8651,1053,0,0,normal
1770496344,793611948,11021578,3451112,2861,1228919,1165178,233,11905,89,10943,9998710,2573522,5425,10875915,10873264,3670480,3484,8651,1053,0,0,normal
1773569371,793682768,11024060,3451525,2861,1228989,1165248,233,11905,89,10943,10001217,2573949,5425,10878461,10875810,3670948,3484,8651,1053,0,0,normal
1775123659,793756954,11026779,3451960,2861,1229067,1165327,233,11905,89,10944,10002662,2574207,5425,10880180,10877529,3671325,3484,8651,1053,0,0,normal
1778725834,793816867,11028236,3452246,2861,1229144,1165404,233,11905,89,10944,10005582,2574685,5425,10883010,10880359,3671791,3484,8651,1053,0,0,normal
1781965506,793881516,11030883,3452621,2861,1229217,1165477,233,11905,89,10944,10008060,2575075,5425,10885533,10882882,3672234,3484,8651,1053,0,0,normal
1783560879,793970041,11033431,3453043,2861,1229314,1165574,233,11906,89,10944,10009365,2575334,5425,10886907,10884256,3672574,3484,8651,1053,0,0,normal
1786549312,794015252,11034632,3453256,2861,1229405,1165665,233,11906,89,10944,10011782,2575729,5425,10889343,10886692,3673042,3484,8651,1053,0,0,normal
1789813879,794093112,11037301,3453687,2861,1229498,1165753,233,11907,90,10947,10013338,2576019,5425,10890920,10888269,3673383,3484,8651,1053,0,0,normal
1793227990,794209374,11040109,3454181,2861,1229586,1165840,233,11907,90,10947,10016100,2576524,5425,10893783,10891132,3673944,3484,8651,1053,0,0,normal
1794985935,794257668,11041571,3454417,2861,1229662,1165918,233,11907,90,10947,10018337,2576863,5425,10896071,10893420,3674331,3484,8651,1053,0,0,normal
1796134310,794309296,11042539,3454606,2861,1229755,1166013,233,11908,90,10947,10018595,2577005,5425,10896385,10893734,3674545,3484,8651,1053,0,0,normal
1796364096,794351710,11042803,3454726,2861,1229840,1166097,233,11908,90,10947,10019098,2577145,5425,10896953,10894302,3674745,3484,8651,1053,0,0,normal
1796922503,794374084,11043299,3454842,2861,1229937,1166198,233,11908,84,10948,10019422,2577246,5425,10897408,10894757,3674939,3484,8651,1053,0,0,normal
1797127723,794411755,11043539,3454958,2861,1230012,1166276,233,11908,84,10948,10019852,2577384,5425,10897829,10895178,3675122,3484,8651,1053,0,0,normal
1797865529,794450180,11044208,3455123,2861,1230110,1166377,233,11909,85,10950,10020518,2577542,5425,10898516,10895865,3675345,3484,8651,1053,0,0,normal
1798194659,794478210,11044506,3455202,2861,1230179,1166449,233,11909,85,10950,10020889,2577690,5425,10898934,10896283,3675538,3484,8651,1053,0,0,normal
1798875382,794538474,11045139,3455399,2861,1230240,1166510,233,11909,85,10950,10021490,2577861,5425,10899590,10896939,3675762,3484,8651,1053,0,0,normal
1799212857,794555681,11045726,3455544,2861,1230316,1166586,233,11909,85,10950,10021827,2577978,5425,10899966,10897315,3675923,3484,8651,1053,0,0,normal
1799876525,794602492,11046043,3455638,2861,1230389,1166657,233,11909,84,10950,10022437,2578152,5425,10900616,10897965,3676136,3484,8651,1053,0,0,normal
1800541496,794649930,11046633,3455790,2861,1230457,1166729,233,11912,80,10950,10023061,2578291,5425,10901241,10898590,3676325,3484,8651,1053,0,0,normal
1800864040,794665608,11046920,3455848,2861,1230529,1166802,233,11914,79,10950,10023461,2578408,5425,10901642,10898991,3676496,3484,8651,1053,0,0,normal
