ifOutUcastPkts11,ifOutNUcastPkts11,tcpInSegs,tcpRetransSegs,tcpEstabResets,udpOutDatagrams,udpInErrors,udpNoPorts,ipOutDiscards,ipInDiscards,ipInAddrErrors,icmpInDestUnreachs,icmpOutDestUnreachs,class
12365687,0,6854460,15135,4717,6733016,6650,1943,3061,0,0,16425,17591,normal
12365860,0,6854530,15136,4721,6733127,6650,1943,3061,0,0,16425,17591,normal
12365966,0,6854550,15136,4721,6733221,6650,1943,3061,0,0,16425,17591,normal
12366103,0,6854590,15137,4721,6733332,6650,1943,3061,0,0,16425,17591,normal
12366266,0,6854605,15137,4721,6733502,6650,1943,3061,0,0,16425,17591,normal
12366395,0,6854646,15137,4721,6733614,6650,1943,3061,0,0,16425,17591,normal
12366467,0,6854674,15137,4721,6733695,6650,1943,3061,0,0,16425,17591,normal
12366539,0,6854697,15137,4721,6733791,6650,1943,3061,0,0,16425,17591,normal
12366679,0,6854739,15137,4721,6733939,6650,1943,3061,0,0,16425,17591,normal
12366833,0,6854785,15138,4721,6734039,6650,1943,3061,0,0,16425,17591,normal
12366951,0,6854828,15139,4721,6734111,6650,1943,3061,0,0,16425,17591,normal
12367129,0,6855013,15140,4721,6734218,6650,1943,3061,0,0,16425,17591,normal
12367330,0,6855047,15140,4724,6734312,6650,1943,3061,0,0,16425,17591,normal
12367420,0,6855064,15140,4724,6734412,6650,1943,3061,0,0,16425,17591,normal
12367549,0,6855119,15140,4724,6734520,6650,1943,3061,0,0,16425,17591,normal
12369417,0,6858625,15146,4724,6734655,6650,1944,3061,0,0,16425,17592,normal
12372102,0,6861217,15146,4724,6734750,6650,1944,3061,0,0,16425,17592,normal
12372199,0,6861253,15146,4724,6734853,6650,1944,3061,0,0,16425,17592,normal
12372343,0,6861293,15146,4724,6734928,6650,1944,3061,0,0,16425,17592,normal
12372441,0,6861312,15146,4724,6735030,6650,1944,3061,0,0,16425,17592,normal
12372584,0,6861348,15147,4724,6735158,6650,1944,3061,0,0,16425,17592,normal
12372737,0,6861392,15148,4724,6735294,6650,1944,3061,0,0,16425,17592,normal
12373525,0,6861741,15149,4729,6735722,6650,1944,3061,0,0,16425,17592,normal
12374076,0,6862315,15149,4729,6735858,6650,1944,3061,0,0,16425,17592,normal
12374251,0,6862367,15151,4729,6735961,6650,1944,3061,0,0,16425,17592,normal
12374497,0,6862468,15152,4735,6736152,6650,1944,3061,0,0,16425,17592,normal
12374619,0,6862499,15152,4735,6736224,6650,1944,3061,0,0,16425,17592,normal
12374700,0,6862517,15152,4735,6736305,6650,1944,3061,0,0,16425,17592,normal
12374808,0,6862561,15153,4735,6736428,6650,1944,3061,0,0,16425,17592,normal
12375005,0,6862661,15153,4735,6736539,6650,1944,3061,0,0,16425,17592,normal
12375233,0,6862873,15155,4735,6736621,6650,1944,3061,0,0,16425,17592,normal
12375348,0,6862912,15155,4735,6736702,6650,1944,3061,0,0,16425,17592,normal
12375481,0,6862947,15155,4735,6736827,6650,1944,3061,0,0,16425,17592,normal
12375575,0,6862968,15155,4736,6736927,6650,1944,3061,0,0,16425,17592,normal
12375700,0,6862984,15155,4736,6737061,6650,1944,3061,0,0,16425,17592,normal
12375747,0,6862996,15155,4736,6737152,6650,1944,3061,0,0,16425,17592,normal
12375871,0,6863015,15156,4736,6737266,6650,1944,3061,0,0,16425,17592,normal
12376774,0,6864301,15156,4739,6737379,6650,1944,3061,0,0,16425,17592,normal
12377009,0,6864456,15156,4740,6737486,6650,1944,3061,0,0,16425,17592,normal
12377154,0,6864487,15157,4740,6737574,6650,1944,3061,0,0,16425,17592,normal
12377252,0,6864512,15158,4741,6737671,6650,1944,3061,0,0,16425,17592,normal
12377317,0,6864527,15159,4741,6737768,6650,1944,3061,0,0,16425,17592,normal
12377602,0,6864745,15159,4741,6737911,6650,1944,3061,0,0,16425,17592,normal
12377821,0,6864862,15159,4741,6738051,6650,1944,3061,0,0,16425,17592,normal
12378443,0,6864960,15160,4741,6738661,6650,1944,3061,0,0,16425,17592,normal
12379192,0,6865081,15160,4742,6739266,6650,1944,3061,0,0,16425,17592,normal
12379302,0,6865100,15160,4743,6739358,6650,1944,3061,0,0,16425,17592,normal
12379396,0,6865118,15161,4743,6739425,6650,1944,3061,0,0,16425,17592,normal
12379477,0,6865141,15161,4743,6739511,6650,1944,3061,0,0,16425,17592,normal
12379609,0,6865173,15161,4743,6739638,6650,1944,3061,0,0,16425,17592,normal
12379731,0,6865184,15162,4743,6739777,6650,1944,3061,0,0,16425,17592,normal
12379801,0,6865198,15163,4743,6739854,6650,1944,3061,0,0,16425,17592,normal
12379998,0,6865272,15163,4745,6740002,6650,1944,3061,0,0,16425,17592,normal
12380059,0,6865284,15163,4745,6740078,6650,1944,3061,0,0,16425,17592,normal
12380161,0,6871049,15166,4745,6740169,6650,1944,3061,0,0,16425,17592,normal
12380248,0,6873548,15178,4745,6740270,6650,1944,3061,0,0,16425,17592,normal
12380363,0,6876301,15182,4745,6740379,6650,1944,3061,0,0,16425,17592,normal
12380456,0,6878953,15182,5657,6740482,6650,1944,3061,0,0,16425,17592,normal
12380816,0,6879215,15183,5657,6740689,6650,1944,3061,0,0,16425,17592,normal
12381092,0,6879386,15183,5657,6740832,6650,1944,3061,0,0,16425,17592,normal
12381406,0,6879512,15196,5657,6740927,6650,1944,3061,0,0,16425,17592,normal
12381477,0,6879526,15196,5657,6741014,6650,1944,3061,0,0,16425,17592,normal
12382391,0,6879550,15196,5664,6741933,6650,1944,3080,0,0,16425,17592,normal
12382659,0,6879623,15203,5664,6742198,6650,1944,3080,0,0,16425,17592,normal
12383060,0,6879657,15203,5664,6742580,6650,1944,3080,0,0,16425,17592,normal
12383371,0,6879688,15203,5664,6742874,6650,1944,3080,0,0,16425,17592,normal
12383495,0,6879700,15203,5664,6742986,6650,1944,3080,0,0,16425,17592,normal
12383745,0,6879918,15203,5664,6743084,6650,1944,3080,0,0,16425,17592,normal
12383927,0,6880034,15213,5664,6743159,6650,1944,3080,0,0,16425,17592,normal
12384094,0,6880139,15220,5664,6743258,6650,1944,3080,0,0,16425,17592,normal
12384346,0,6880294,15236,5664,6743361,6650,1944,3080,0,0,16425,17592,normal
12384596,0,6880326,15237,5664,6743726,6650,1944,3080,0,0,16425,17592,normal
12384865,0,6880361,15237,5664,6743879,6650,1944,3080,0,0,16425,17592,normal
12384957,0,6880377,15237,5664,6743992,6650,1944,3080,0,0,16425,17592,normal
12385062,0,6880396,15238,5664,6744141,6650,1944,3080,0,0,16425,17592,normal
12385402,0,6880497,15238,5664,6744472,6650,1944,3080,0,0,16425,17592,normal
12385627,0,6880507,15238,5664,6744597,6650,1944,3080,0,0,16425,17592,normal
12385797,0,6880575,15241,5664,6744732,6650,1944,3080,0,0,16425,17592,normal
