ifInOctets11,ifInDiscards11,tcpInSegs,tcpRetransSegs,tcpEstabResets,udpInDatagrams,udpOutDatagrams,ipInReceives,ipInDelivers,ipOutRequests,ipInDiscards,ipInAddrErrors,icmpInMsgs,class
1328577195,142,6901582,15627,5777,21721819,6773595,28159842,12812420,28159229,0,0,23645,normal
1328983086,142,6901745,15640,5777,21721997,6773648,28160184,12812656,28159571,0,0,23645,normal
1329228685,142,6901940,15658,5777,21722443,6773716,28160614,12812938,28160001,0,0,23645,normal
1329455475,142,6902125,15666,5777,21722682,6773800,28160993,12813188,28160380,0,0,23645,normal
1329778226,142,6902182,15666,5777,21723202,6774074,28161569,12813514,28160956,0,0,23645,normal
1330160227,142,6902205,15666,5777,21723400,6774142,28161780,12813606,28161167,0,0,23645,normal
1330546195,142,6902241,15666,5777,21723755,6774239,28162161,12813741,28161548,0,0,23645,normal
1330561530,142,9123570,15666,746207,21723798,6774277,30523349,14387894,30522736,0,0,23645,normal
1330761462,142,11585154,15666,1566715,21724249,6774364,32998808,16038080,32998195,0,0,23645,normal
1330970461,142,14064176,15668,2393037,21724475,6774452,35471858,17686745,35471244,0,0,23645,normal
1331387859,142,16486508,15668,3200463,21724696,6774553,37913416,19314422,37912802,0,0,23645,normal
1331589602,142,18903977,15668,4006276,21724880,6774611,40316903,20916693,40316289,0,0,23645,normal
1331784628,142,19683404,15668,4266074,21725314,6774693,40944669,21335072,40944056,0,0,23645,normal
1332176578,142,19683441,15669,4266074,21725565,6774775,40944903,21335186,40944290,0,0,23645,normal
1332396733,142,19683471,15669,4266074,21725814,6774871,42167147,21946306,42166534,0,0,676852,bruteForce
1332590755,142,19683503,15669,4266074,21725995,6774925,43570476,22647947,43569863,0,0,1375574,bruteForce
1332789554,142,19683534,15669,4266074,21726355,6775049,44984233,23354788,44983620,0,0,2080333,bruteForce
1333178930,142,19683559,15671,4266074,21726564,6775127,46421063,24073192,46420450,0,0,2818026,bruteForce
1333367134,142,19683588,15671,4266074,21726738,6775182,47046167,24385726,47045554,0,0,3337485,bruteForce
1333559016,142,19683634,15671,4266074,21726919,6775256,48450069,25087685,48449456,0,0,4751875,bruteForce
1333778973,142,19683688,15672,4266074,21727127,6775343,49903364,25814297,49902751,0,0,6213951,bruteForce
1334158772,142,19683704,15672,4266074,21727465,6775441,51160072,26442632,51159459,0,0,7375055,bruteForce
1334366761,142,20684081,15672,4266074,21727660,6775527,51160302,26442752,51159689,0,0,7375055,normal
1334575770,142,21603167,15672,4266074,21727887,6775651,51160560,26442905,51159947,0,0,7375055,normal
1334771300,142,21692547,15675,4266074,21728224,6775729,51169094,26451187,51168481,0,0,7375055,normal
1335148703,142,21694391,15681,4266074,21728418,6775782,51171266,26453114,51170653,0,0,7375055,normal
1335340016,142,21698872,15682,4266319,21728614,6775853,51175788,26457640,51175175,0,0,7375055,normal
1335535312,142,21702616,15682,4266469,21728798,6775915,51179718,26461445,51179105,0,0,7375055,normal
1335760283,142,21709397,15682,4267469,21729023,6776005,51186718,26468320,51186105,0,0,7375055,normal
1335965636,142,21712788,15682,4267469,21729364,6776106,51187085,26468441,51186472,0,0,7375055,normal
1336357198,142,21716497,16260,4267469,21729674,6776199,51187339,26468572,51186726,0,0,7375055,normal
1336551466,142,21722093,16424,4267470,21729877,6776259,51187545,26468656,51186932,0,0,7375055,normal
