ifInOctets11_diff,ifInDiscards11_diff,ifOutOctets11_diff,tcpInSegs_diff,tcpRetransSegs_diff,tcpEstabResets_diff,tcpOutSegs_diff,udpInDatagrams_diff,udpOutDatagrams_diff,udpNoPorts_diff,ipInReceives_diff,ipInDelivers_diff,ipOutRequests_diff,ipInDiscards_diff,ipInAddrErrors_diff,ipOutDiscards_diff,icmpInMsgs_diff,icmpOutMsgs_diff,icmpInDestUnreachs_diff,icmpOutDestUnreachs_diff,icmpInEchos_diff,icmpOutEchoReps_diff,class
1375676228,142,2143712583,21734037,16618,4268098,16621743,21756971,6784681,2863562,51223375,51222762,26486720,0,0,3096,7375055,2860825,2878043,6479,2244976,2245557,normal
1416958066,143,2147462697,21738157,16757,4268103,16625885,21795941,6797024,2863562,51265328,51264715,26503151,0,0,3096,7375055,2860825,2878043,6479,2244976,2245557,normal
1417170444,143,2147487800,21738219,16757,4268103,16625949,21796327,6797153,2863562,51265768,51265155,26503341,0,0,3096,7375055,2860825,2878043,6479,2244976,2245557,normal
1417569480,144,2147520887,21738250,16757,4268103,16625981,21796658,6797237,2863562,51266025,51265412,26503466,0,0,3096,7375055,2860825,2878043,6479,2244976,2245557,normal
1417772551,144,2147548247,21738287,16758,4268103,16626018,21796900,6797343,2863562,51266272,51265659,26503599,0,0,3096,7375055,2860825,2878043,6479,2244976,2245557,normal
1418007723,144,2147615342,23282342,16758,4782779,17655400,21797332,6797526,2863562,53010034,53009421,27666017,0,0,3096,7375055,2860825,2878043,6479,2244976,2245557,normal
1418425092,144,2147653643,25992642,16758,5686198,19462282,21797767,6797608,2863562,55737729,55737116,29484416,0,0,3096,7375055,2860825,2878043,6479,2244976,2245557,normal
1418636009,144,2147696429,28688798,16759,6584907,21259731,21798027,6797737,2863562,58455176,58454563,31296021,0,0,3096,7375055,2860825,2878043,6479,2244976,2245557,normal
1419030495,144,2147732980,29692694,16760,6919524,21929011,21798380,6797850,2863562,59221960,59221347,31807100,0,0,3096,7375055,2860825,2878043,6479,2244976,2245557,normal
1419228747,144,2147750065,29692730,16761,6919524,21929047,21798578,6797927,3479998,60496673,60496060,32444449,0,0,3096,8070869,3556423,3573857,6479,2244976,2245557,slowloris
1419436073,144,2147782788,29692766,16761,6919524,21929082,21798815,6798040,4267778,62084781,62084168,33238512,0,0,3096,8849846,4335145,4352834,6479,2244976,2245557,slowloris
1419855040,144,2147841822,29692818,16761,6919524,21929136,21799329,6798213,5049730,63644366,63643752,34018301,0,0,3096,9632173,5117240,5135161,6479,2244976,2245557,slowloris
1420058191,144,2147868033,29692853,16761,6919524,21929174,21799545,6798320,5350355,64196764,64196151,34294518,0,0,3096,9861848,5346840,5364836,6479,2244976,2245557,slowloris
1420247966,144,2147890758,29692882,16761,6919524,21929203,21799746,6798402,5350355,65408297,65407684,34900278,0,0,3096,11169518,5346840,5364836,6479,2898812,2899392,normal
1420637398,144,2147930376,29692938,16761,6919524,21929262,21800110,6798523,5350355,66948643,66948029,35670421,0,0,3096,12712510,5346840,5364836,6479,3670307,3670888,normal
1420826169,144,2147953195,29692962,16761,6919524,21929289,21800321,6798621,5350355,68508252,68507639,36450230,0,0,3096,14272024,5346840,5364836,6479,4450064,4450645,normal
1421018526,144,2147971415,29692986,16761,6919524,21929315,21800677,6798751,5350355,68972114,68971501,36682125,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1421212738,144,2147997620,30693352,16763,6919524,22929676,21800872,6798830,5350355,68972372,68971759,36682264,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1421615490,144,2148038897,32693984,16763,6919524,24930310,21801230,6798961,5350355,68972779,68972166,36682438,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
1421984174,144,2148090488,34681020,16763,6919524,26917346,21801531,6799077,5350355,68973052,68972439,36682583,0,0,3096,14635932,5346840,5364836,6479,4632018,4632599,normal
