ifInOctets11,ifOutOctets11,ifOutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps,class
1210338488,2719320373,25,4617593,0,1500,16845650,0,88580011,278810838,189792851,8390565,332041,70,20929,8417852,1951832,544244,3259,70738838,507201013,507197975,240095770,3,0,0,0,0,245790100,50475258,255394736,115872435,115872417,84197932,slowloris
1210341130,2719321968,25,4617616,0,1500,16845667,0,88580011,278810863,189792876,8390565,332041,70,20929,8417852,1951940,544351,3259,70738838,507201144,507198106,240095906,3,0,0,0,0,245790100,50475258,255394736,115872435,115872417,84197932,slowloris
1210364320,2719375734,25,4617753,0,1500,16845803,0,88580011,278810908,189792941,8390565,332042,69,20929,8417852,1952053,544451,3259,70738838,507201302,507198264,240096061,3,0,0,0,0,245790100,50475258,255394736,115872435,115872417,84197932,slowloris
1210414387,2724971500,25,4617818,0,1500,16875050,0,88580011,278810963,189793000,8390565,332046,70,20929,8417854,1952167,544581,3259,70738838,507775973,507772934,240181340,3,0,0,0,0,246499961,50475258,256212394,116581835,116581817,84306190,icmp-echo
1210434673,2758417226,25,4617898,0,1500,17051003,0,88580011,278810984,189793019,8390565,332046,70,20929,8417854,1952254,544683,3259,70738838,509143027,509139989,240354121,3,0,0,0,0,247868705,50475258,257753107,117949905,117949887,84478833,icmp-echo
1210438274,2795349451,25,4617918,0,1500,17245371,0,88580011,278810998,189793036,8390565,332049,70,20929,8417854,1952329,544761,3259,70738838,510498120,510495081,240551719,3,0,0,0,0,249233310,50475258,259313098,119313746,119313728,84674983,icmp-echo
1210447157,2817836373,25,4617976,0,1500,17363732,0,88580011,278811022,189793063,8390565,332049,70,20929,8417855,1952509,544847,3259,70738838,511042733,511039695,240616321,3,0,0,0,0,249631051,50475258,259753357,119711318,119711300,84717670,icmp-echo
1210468400,2817845935,25,4618069,0,1500,17363778,0,88580011,278811060,189793105,8390565,332049,70,20929,8417856,1952836,544916,3259,70738838,513291246,513288208,241740618,3,0,0,0,0,252146845,50475258,262269152,120969216,120969197,85975568,icmp-echo
1210495035,2817874705,25,4618149,0,1500,17363849,0,88580011,278811080,189793126,8390565,332049,70,20929,8417856,1952985,545055,3259,70738838,515879757,515876718,243034960,3,0,0,0,0,254731731,50475258,264854039,122261659,122261641,87268011,icmp-echo
1210503310,2817885772,25,4618193,0,1500,17363897,0,88580011,278811101,189793149,8390565,332049,68,20930,8417856,1953075,545140,3259,70738838,517579716,517576678,243884992,3,0,0,0,0,256167637,50475258,266289943,122979611,122979593,87985963,icmp-echo
1210513305,2817901575,25,4618241,0,1500,17363952,0,88580011,278811127,189793175,8390565,332051,67,20931,8417856,1953162,545226,3259,70738838,517579813,517576775,243885093,3,0,0,0,0,256167637,50475258,266289943,122979611,122979593,87985963,slowloris
